sample	host	date	country	province_state	region	location	host_country	other_sample_id
QC-4055	White-tailed deer	2021-11-06	Canada	Quebec		CAN-QC	White-tailed deer|Canada	
QC-4204	White-tailed deer	2021-11-06	Canada	Quebec		CAN-QC	White-tailed deer|Canada	
QC-4205	White-tailed deer	2021-11-06	Canada	Quebec		CAN-QC	White-tailed deer|Canada	
QC-4249	White-tailed deer	2021-11-06	Canada	Quebec		CAN-QC	White-tailed deer|Canada	
MN908947.3	Human	2022-01-09	China	Wuhan	Wuhan	CHN-HB	Human|China	
Canada/BC-BCCDC-195041/2021	Human	2021-08-30	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/AB-ABPHL-32268/2021	Human	2021-08-29	Canada	Alberta		CAN-AB	Human|Canada	
USA/MT-FYR-545/2021	Human	2021-10-04	USA	Montana		USA-MT	Human|USA	
USA/MT-MTPHL-3869051/2021	Human	2021-08-31	USA	Montana	Missoula County	USA-MT	Human|USA	
Canada/AB-ABPHL-29354/2021	Human	2021-08-19	Canada	Alberta		CAN-AB	Human|Canada	
Canada/BC-BCCDC-215461/2021	Human	2021-09-30	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/BC-BCCDC-213768/2021	Human	2021-09-23	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/BC-BCCDC-212119/2021	Human	2021-09-26	Canada	British Columbia		CAN-BC	Human|Canada	
USA/IL-CDC-ASC210422758/2021	Human	2021-11-15	USA	Illinois		USA-IL	Human|USA	
USA/AK-PHL14388/2021	Human	2021-10-12	USA	Alaska	Interior	USA-AK	Human|USA	
Canada/ON-PHL-21-40195/2021	Human	2021-11	Canada	Ontario		CAN-ON	Human|Canada	
Canada/AB-ABPHL-42604/2021	Human	2021-11-15	Canada	Alberta		CAN-AB	Human|Canada	
Canada/BC-BCCDC-253573/2021	Human	2021-11-07	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/BC-BCCDC-256646/2021	Human	2021-11-07	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/AB-ABPHL-43423/2021	Human	2021-11-23	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUGLD-1211-MM00685R/2021	Human	2021-11-12	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1211-MM00702R/2021	Human	2021-11-12	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1311-MM00615R/2021	Human	2021-11-13	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1411-MM00559R/2021	Human	2021-11-14	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1611-MM00216R/2021	Human	2021-11-16	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1611-MM00554R/2021	Human	2021-11-16	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1611-MM00590R/2021	Human	2021-11-16	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1911-MM00900R/2021	Human	2021-11-19	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1311-MM00585R/2021	Human	2021-11-13	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-43276/2021	Human	2021-11-24	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUDGLD-2911-MM01710R/2021	Human	2021-11-29	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-2811-MM00601R/2021	Human	2021-11-28	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-2911-MM01712R/2021	Human	2021-11-29	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-2911-MM01711R/2021	Human	2021-11-29	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-2811-MM00566R/2021	Human	2021-11-28	Canada	New Brunswick		CAN-NB	Human|Canada	
USA/MT-FYR-464/2021	Human	2021-09-14	USA	Montana		USA-MT	Human|USA	
Canada/SK-NML-227908/2021	Human	2021-10-27	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/NL-PHML-223178/2021	Human	2021-10-14	Canada	Newfoundland and Labrador		CAN-NL	Human|Canada	
USA/MT-UMGC-03531/2021	Human	2021-09-09	USA	Montana		USA-MT	Human|USA	
Canada/NB-CHUDGLD-291222-MM02952R/2021	Human	2021-12-29	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/SK-NML-202440/2021	Human	2021-09-18	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/AB-ABPHL-32801/2021	Human	2021-09-07	Canada	Alberta		CAN-AB	Human|Canada	
USA/MT-Walk-3869913/2021	Human	2021-09-01	USA	Montana	Helena	USA-MT	Human|USA	
Canada/BC-BCCDC-279486/2021	Human	2021-12-13	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/AB-ABPHL-41307/2021	Human	2021-10-29	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41642/2021	Human	2021-11-05	Canada	Alberta		CAN-AB	Human|Canada	
USA/MT-WL-3887246/2021	Human	2021-09-20	USA	Montana	Gallatin County	USA-MT	Human|USA	
Canada/AB-ABPHL-41648/2021	Human	2021-11-13	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41314/2021	Human	2021-10-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41425/2021	Human	2021-11-11	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41187/2021	Human	2021-11-04	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-45691/2021	Human	2021-12-13	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NS-NML-268437/2021	Human	2021-12-07	Canada	Nova Scotia		CAN-NS	Human|Canada	
Canada/NB-CHUDGLD-040122-MM01328R/2022	Human	2022-01-04	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-41323/2021	Human	2021-10-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/ON-PHL-21-33187/2021	Human	2021-09-02	Canada	Ontario		CAN-ON	Human|Canada	
Canada/AB-ABPHL-40958/2021	Human	2021-11-04	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41324/2021	Human	2021-10-31	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-35626/2021	Human	2021-09-16	Canada	Alberta		CAN-AB	Human|Canada	
USA/MT-MTPHL-3873916/2021	Human	2021-09-07	USA	Montana	Lewis And Clark County	USA-MT	Human|USA	
Canada/NB-CHUDGLD-2012-MM01436R/2021	Human	2021-12-20	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-46995/2021	Human	2021-12-18	Canada	Alberta		CAN-AB	Human|Canada	
Canada/ON-PHL-21-42988/2021	Human	2021-11-29	Canada	Ontario		CAN-ON	Human|Canada	
Canada/BC-BCCDC-213668/2021	Human	2021-09-23	Canada	British Columbia		CAN-BC	Human|Canada	
USA/ND-NDDH-15690/2022	Human	2022-01-02	USA	North Dakota		USA-ND	Human|USA	
Canada/NB-CHUDGLD-2012-MM01502R/2021	Human	2021-12-20	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/SK-NML-238672/2021	Human	2021-11-05	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/AB-ABPHL-41558/2021	Human	2021-10-31	Canada	Alberta		CAN-AB	Human|Canada	
USA/MT-UMGC-02942/2021	Human	2021-08-24	USA	Montana	Teton	USA-MT	Human|USA	
Canada/AB-ABPHL-41341/2021	Human	2021-10-31	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-40867/2021	Human	2021-11-03	Canada	Alberta		CAN-AB	Human|Canada	
USA/UT-UPHL-220321766188/2022	Human	2022-01-22	USA	Utah		USA-UT	Human|USA	
Canada/AB-ABPHL-40839/2021	Human	2021-11-02	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUDGLD-1112-MM00851R/2021	Human	2021-12-11	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-41230/2021	Human	2021-11-04	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUDGLD-1112-MM00926R/2021	Human	2021-12-11	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/BC-BCCDC-255562/2021	Human	2021-11-05	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/BC-BCCDC-253464/2021	Human	2021-10-31	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/NB-CHUGLD-0111-MM00448R/2021	Human	2021-11-01	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1211-MM00686R/2021	Human	2021-11-12	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUGLD-1211-MM00696R/2021	Human	2021-11-12	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-1112-MM01024R/2021	Human	2021-12-11	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-29925/2021	Human	2021-08-25	Canada	Alberta		CAN-AB	Human|Canada	
Canada/SK-RRPL-202041/2021	Human	2021-09-13	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/AB-ABPHL-38208/2021	Human	2021-10-09	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39126/2021	Human	2021-10-21	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-40888/2021	Human	2021-11-03	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41761/2021	Human	2021-11-11	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUGLD-1311-MM00480R/2021	Human	2021-11-13	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-1712-MM01564R/2021	Human	2021-12-17	Canada	New Brunswick		CAN-NB	Human|Canada	
USA/MT-MTPHL-3881638/2021	Human	2021-09-14	USA	Montana		USA-MT	Human|USA	
USA/MT-MTPHL-3881626/2021	Human	2021-09-14	USA	Montana		USA-MT	Human|USA	
USA/MT-MTPHL-3881622/2021	Human	2021-09-14	USA	Montana	Lewis And Clark County	USA-MT	Human|USA	
Canada/NB-CHUDGLD-2012-MM01450R/2021	Human	2021-12-20	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/BC-BCCDC-187042/2021	Human	2021-08-30	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/NB-CHUDGLD-0612-MM01144R/2021	Human	2021-12-06	Canada	New Brunswick		CAN-NB	Human|Canada	
USA/MT-FYR-883/2021	Human	2021-10-11	USA	Montana		USA-MT	Human|USA	
Canada/AB-ABPHL-40911/2021	Human	2021-11-03	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUDGLD-0412-MM00558R/2021	Human	2021-12-04	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-0212-MM01728R/2021	Human	2021-12-02	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-0512-MM00663R/2021	Human	2021-12-05	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-0512-MM00710R/2021	Human	2021-12-05	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-0412-MM00555R/2021	Human	2021-12-04	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-0412-MM00560R/2021	Human	2021-12-04	Canada	New Brunswick		CAN-NB	Human|Canada	
USA/WA-PHL-002958/2021	Human	2021-08-26	USA	Washington	Walla Walla County	USA-WA	Human|USA	
Canada/AB-ABPHL-43968/2021	Human	2021-11-14	Canada	Alberta		CAN-AB	Human|Canada	
Canada/NB-CHUDGLD-223268/2021	Human	2021-10-18	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-223269/2021	Human	2021-10-18	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/BC-BCCDC-214889/2021	Human	2021-09-27	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/BC-BCCDC-226036/2021	Human	2021-10-14	Canada	British Columbia		CAN-BC	Human|Canada	
Canada/AB-ABPHL-29927/2021	Human	2021-08-25	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-31182/2021	Human	2021-08-29	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-31465/2021	Human	2021-08-22	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-31734/2021	Human	2021-08-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-31743/2021	Human	2021-08-31	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-31760/2021	Human	2021-09-02	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32187/2021	Human	2021-09-01	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32188/2021	Human	2021-09-01	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32270/2021	Human	2021-08-29	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32280/2021	Human	2021-08-29	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32697/2021	Human	2021-09-06	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32715/2021	Human	2021-09-07	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32841/2021	Human	2021-09-08	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-32794/2021	Human	2021-09-08	Canada	Alberta		CAN-AB	Human|Canada	
Canada/ON-PHL-21-33891/2021	Human	2021-09	Canada	Ontario		CAN-ON	Human|Canada	
USA/MT-MTPHL-3927637/2021	Human	2021-11-08	USA	Montana	Lewis And Clark County	USA-MT	Human|USA	
USA/MT-MTPHL-3927633/2021	Human	2021-10-23	USA	Montana	Lewis And Clark County	USA-MT	Human|USA	
Canada/SK-NML-157343/2021	Human	2021-08-25	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-RRPL-179883/2021	Human	2021-08-30	Canada	Saskatchewan		CAN-SK	Human|Canada	
USA/MT-WL-3885322/2021	Human	2021-09-17	USA	Montana	Lewis And Clark County	USA-MT	Human|USA	
USA/MT-UMGC-00775/2021	Human	2021-09-08	USA	Montana		USA-MT	Human|USA	
USA/MT-UMGC-00761/2021	Human	2021-09-08	USA	Montana		USA-MT	Human|USA	
USA/MT-UMGC-00805/2021	Human	2021-09-07	USA	Montana		USA-MT	Human|USA	
USA/MT-WL-3883332/2021	Human	2021-09-15	USA	Montana		USA-MT	Human|USA	
USA/MT-WL-3883323/2021	Human	2021-09-15	USA	Montana		USA-MT	Human|USA	
USA/MT-WL-3883337/2021	Human	2021-09-15	USA	Montana	Granite County	USA-MT	Human|USA	
Canada/ON-KHS-21-04282-v1/2021	Human	2021-10-23	Canada	Ontario		CAN-ON	Human|Canada	
Canada/BC-BCCDC-189652/2021	Human	2021-09-01	Canada	British Columbia		CAN-BC	Human|Canada	
USA/MT-MTPHL-3899605/2021	Human	2021-09-28	USA	Montana	Lincoln County	USA-MT	Human|USA	
Canada/AB-ABPHL-40804/2021	Human	2021-11-02	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-41584/2021	Human	2021-11-05	Canada	Alberta		CAN-AB	Human|Canada	
Canada/SK-NML-205641/2021	Human	2021-09-23	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-RRPL-194245/2021	Human	2021-09-09	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/NB-CHUDGLD-223211/2021	Human	2021-10-17	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NL-PHML-236837/2021	Human	2021-10-18	Canada	Newfoundland and Labrador		CAN-NL	Human|Canada	
Canada/AB-ABPHL-42084/2021	Human	2021-11-07	Canada	Alberta		CAN-AB	Human|Canada	
Canada/SK-NML-227684/2021	Human	2021-10-23	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-NML-222993/2021	Human	2021-10-21	Canada	Saskatchewan		CAN-SK	Human|Canada	
USA/MT-FYR-396/2021	Human	2021-09-10	USA	Montana		USA-MT	Human|USA	
USA/MT-FYR-417/2021	Human	2021-09-10	USA	Montana		USA-MT	Human|USA	
Canada/NB-CHUDGLD-219457/2021	Human	2021-10-15	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/NB-CHUDGLD-237120/2021	Human	2021-10-30	Canada	New Brunswick		CAN-NB	Human|Canada	
Canada/AB-ABPHL-36449/2021	Human	2021-09-27	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37040/2021	Human	2021-09-29	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37291/2021	Human	2021-10-11	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37312/2021	Human	2021-10-12	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37325/2021	Human	2021-10-12	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37358/2021	Human	2021-10-14	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37546/2021	Human	2021-10-13	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37591/2021	Human	2021-10-15	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37733/2021	Human	2021-10-10	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37859/2021	Human	2021-10-08	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37894/2021	Human	2021-10-09	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37906/2021	Human	2021-10-09	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37916/2021	Human	2021-10-10	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37924/2021	Human	2021-10-10	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37940/2021	Human	2021-10-18	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-37953/2021	Human	2021-10-17	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38005/2021	Human	2021-10-18	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38084/2021	Human	2021-10-17	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38104/2021	Human	2021-10-18	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38382/2021	Human	2021-10-17	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38722/2021	Human	2021-10-18	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38788/2021	Human	2021-10-19	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38828/2021	Human	2021-10-25	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-38900/2021	Human	2021-10-25	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39177/2021	Human	2021-10-26	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39178/2021	Human	2021-10-26	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39240/2021	Human	2021-10-26	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39242/2021	Human	2021-10-26	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39651/2021	Human	2021-10-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39802/2021	Human	2021-11-02	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39851/2021	Human	2021-10-31	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-40577/2021	Human	2021-11-03	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-36651/2021	Human	2021-09-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-36660/2021	Human	2021-10-01	Canada	Alberta		CAN-AB	Human|Canada	
Canada/AB-ABPHL-39623/2021	Human	2021-10-30	Canada	Alberta		CAN-AB	Human|Canada	
Canada/SK-RRPL-205789/2021	Human	2021-09-19	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-RRPL-194125/2021	Human	2021-09-01	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-NML-180679/2021	Human	2021-09-01	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-NML-194608/2021	Human	2021-09-18	Canada	Saskatchewan		CAN-SK	Human|Canada	
Canada/SK-NML-191311/2021	Human	2021-09-04	Canada	Saskatchewan		CAN-SK	Human|Canada	
